filename,score,cluster_id,drugbank_id
DB01435_docking_min1.mol2,-6.3,49,DB01435
DB00812_docking_min1.mol2,-6.0,49,DB00812
DB03585_docking_min1.mol2,-5.9,49,DB03585
DB06414_docking_min1.mol2,-8.1,50,DB06414
DB06816_docking_min1.mol2,-8.1,51,DB06816
DB11263_docking_min1.mol2,-8.1,52,DB11263
DB12945_docking_min1.mol2,-8.1,53,DB12945
DB12954_docking_min1.mol2,-8.1,54,DB12954
DB00260_docking_min1.mol2,-4.7,54,DB00260
DB01097_docking_min1.mol2,-8.0,55,DB01097
DB06401_docking_min1.mol2,-8.0,56,DB06401
DB01136_docking_min1.mol2,-7.8,56,DB01136
DB06202_docking_min1.mol2,-7.5,56,DB06202
DB06217_docking_min1.mol2,-6.9,56,DB06217
DB00908_docking_min1.mol2,-6.2,56,DB00908
DB00468_docking_min1.mol2,-6.1,56,DB00468
DB06814_docking_min1.mol2,-8.0,57,DB06814
DB07776_docking_min1.mol2,-8.0,58,DB07776
DB08954_docking_min1.mol2,-8.0,59,DB08954
DB00714_docking_min1.mol2,-6.8,59,DB00714
DB00504_docking_min1.mol2,-6.5,59,DB00504
DB00611_docking_min1.mol2,-6.1,59,DB00611
DB00652_docking_min1.mol2,-6.1,59,DB00652
DB06738_docking_min1.mol2,-6.1,59,DB06738
DB00854_docking_min1.mol2,-6.0,59,DB00854
DB08979_docking_min1.mol2,-8.0,60,DB08979
DB09096_docking_min1.mol2,-8.0,61,DB09096
DB11672_docking_min1.mol2,-8.0,62,DB11672
DB00459_docking_min1.mol2,-7.3,62,DB00459
DB00179_docking_min1.mol2,-7.2,62,DB00179
DB08814_docking_min1.mol2,-7.1,62,DB08814
DB00654_docking_min1.mol2,-7.0,62,DB00654
DB11221_docking_min1.mol2,-7.0,62,DB11221
DB11217_docking_min1.mol2,-6.7,62,DB11217
DB00945_docking_min1.mol2,-6.3,62,DB00945
DB00874_docking_min1.mol2,-6.1,62,DB00874
DB01399_docking_min1.mol2,-6.1,62,DB01399
DB09543_docking_min1.mol2,-5.7,62,DB09543
DB00936_docking_min1.mol2,-5.6,62,DB00936
DB11359_docking_min1.mol2,-5.0,62,DB11359
DB11299_docking_min1.mol2,-4.7,62,DB11299
DB11323_docking_min1.mol2,-4.7,62,DB11323
DB14086_docking_min1.mol2,-8.0,63,DB14086
DB01094_docking_min1.mol2,-7.9,63,DB01094
DB00266_docking_min1.mol2,-7.8,63,DB00266
DB00693_docking_min1.mol2,-7.4,63,DB00693
DB04816_docking_min1.mol2,-7.2,63,DB04816
DB00486_docking_min1.mol2,-6.8,63,DB00486
DB11157_docking_min1.mol2,-6.7,63,DB11157
DB12007_docking_min1.mol2,-6.4,63,DB12007
DB00227_docking_min1.mol2,-6.3,63,DB00227
DB00682_docking_min1.mol2,-6.2,63,DB00682
DB01179_docking_min1.mol2,-6.0,63,DB01179
DB00222_docking_min1.mol2,-7.9,64,DB00222
DB01120_docking_min1.mol2,-7.9,64,DB01120
DB01070_docking_min1.mol2,-7.9,65,DB01070
DB00153_docking_min1.mol2,-7.3,65,DB00153
DB13954_docking_min1.mol2,-7.1,65,DB13954
DB00621_docking_min1.mol2,-7.0,65,DB00621
DB00655_docking_min1.mol2,-6.8,65,DB00655
DB01185_docking_min1.mol2,-6.8,65,DB01185
DB02187_docking_min1.mol2,-6.8,65,DB02187
DB13956_docking_min1.mol2,-6.8,65,DB13956
DB00858_docking_min1.mol2,-6.7,65,DB00858
DB00169_docking_min1.mol2,-6.6,65,DB00169
DB09070_docking_min1.mol2,-6.6,65,DB09070
DB06710_docking_min1.mol2,-6.5,65,DB06710
DB13952_docking_min1.mol2,-6.5,65,DB13952
DB00783_docking_min1.mol2,-6.3,65,DB00783
DB01708_docking_min1.mol2,-6.3,65,DB01708
DB00717_docking_min1.mol2,-6.0,65,DB00717
DB12474_docking_min1.mol2,-6.0,65,DB12474
DB04942_docking_min1.mol2,-7.9,66,DB04942
DB06654_docking_min1.mol2,-7.9,67,DB06654
DB00342_docking_min1.mol2,-7.8,68,DB00342
DB01231_docking_min1.mol2,-6.9,68,DB01231
